IncidentID,CACNumber,IncidentType,Severity,IncidentDate,Status,ReportedDate,CorrectiveActionRequired,RepeatIncident
7001,1001,Policy Violation,Medium,2025-01-01 00:00:00.000000,Open,2025-01-01 00:00:00.000000,No,No
7002,1007,Device Loss,High,2025-01-21 22:20:41.379310,Under Review,2025-01-22 22:20:41.379310,Yes,No
7003,1039,Lost Badge,High,2025-02-11 20:41:22.758620,Closed,2025-02-13 20:41:22.758620,No,No
7004,1025,Security Violation,Medium,2025-03-04 19:02:04.137931,Under Review,2025-03-06 19:02:04.137931,No,No
7005,1032,Improper Document Handling,High,2025-03-25 17:22:45.517241,Closed,2025-03-25 17:22:45.517241,No,No
7006,1044,Device Loss,High,2025-04-15 15:43:26.896551,Closed,2025-04-17 15:43:26.896551,No,No
7007,1035,Unauthorized Area Access,High,2025-05-06 14:04:08.275862,Under Review,2025-05-07 14:04:08.275862,No,No
7008,1011,Foreign Travel Reporting,Medium,2025-05-27 12:24:49.655172,Open,2025-05-30 12:24:49.655172,No,No
7009,1026,Suspicious Email Reporting,Low,2025-06-17 10:45:31.034482,Closed,2025-06-19 10:45:31.034482,No,No
7010,1038,Foreign Travel Reporting,High,2025-07-08 09:06:12.413793,Closed,2025-07-10 09:06:12.413793,Yes,No
7011,1042,Suspicious Email Reporting,Medium,2025-07-29 07:26:53.793103,Open,2025-07-30 07:26:53.793103,No,Yes
7012,1030,Tailgating,Low,2025-08-19 05:47:35.172413,Closed,2025-08-22 05:47:35.172413,No,No
7013,1034,Policy Violation,Medium,2025-09-09 04:08:16.551724,Under Review,2025-09-09 04:08:16.551724,Yes,No
7014,1023,Tailgating,Medium,2025-09-30 02:28:57.931034,Closed,2025-10-03 02:28:57.931034,No,No
7015,1002,Device Loss,Medium,2025-10-21 00:49:39.310344,Closed,2025-10-23 00:49:39.310344,No,No
7016,1021,Information Handling,Critical,2025-11-10 23:10:20.689655,Under Review,2025-11-10 23:10:20.689655,Yes,No
7017,1043,Security Violation,Low,2025-12-01 21:31:02.068965,Closed,2025-12-04 21:31:02.068965,No,No
7018,1022,Information Handling,High,2025-12-22 19:51:43.448275,Closed,2025-12-23 19:51:43.448275,No,Yes
7019,1033,Policy Violation,Low,2026-01-12 18:12:24.827586,Closed,2026-01-12 18:12:24.827586,Yes,No
7020,1028,Information Handling,Medium,2026-02-02 16:33:06.206896,Closed,2026-02-02 16:33:06.206896,No,No
7021,1010,Tailgating,Medium,2026-02-23 14:53:47.586206,Closed,2026-02-23 14:53:47.586206,No,No
7022,1003,Information Handling,Medium,2026-03-16 13:14:28.965517,Closed,2026-03-19 13:14:28.965517,No,No
7023,1045,Policy Violation,Medium,2026-04-06 11:35:10.344827,Under Review,2026-04-06 11:35:10.344827,Yes,No
7024,1030,Tailgating,Low,2026-04-27 09:55:51.724137,Closed,2026-04-28 09:55:51.724137,No,Yes
7025,1023,Foreign Travel Reporting,Critical,2026-05-18 08:16:33.103448,Open,2026-05-20 08:16:33.103448,No,Yes
7026,1000,Security Violation,Medium,2026-06-08 06:37:14.482758,Closed,2026-06-09 06:37:14.482758,No,Yes
7027,1015,Improper Document Handling,Medium,2026-06-29 04:57:55.862068,Closed,2026-07-01 04:57:55.862068,No,No
7028,1037,Improper Document Handling,High,2026-07-20 03:18:37.241379,Under Review,2026-07-22 03:18:37.241379,Yes,Yes
7029,1031,Foreign Travel Reporting,High,2026-08-10 01:39:18.620689,Closed,2026-08-13 01:39:18.620689,No,No
7030,1003,Unauthorized Area Access,Low,2026-08-31 00:00:00.000000,Closed,2026-09-02 00:00:00.000000,Yes,Yes
