TrainingID,CACNumber,TrainingType,AssignedDate,DueDate,TrainingStatus,Score
8001,1012,Foreign Travel Security Training,2025-01-01 00:00:00.000000,2025-04-01 00:00:00.000000,Completed,88
8002,1016,Foreign Travel Security Training,2025-01-12 02:56:19.591836,2025-04-12 02:56:19.591836,Completed,84
8003,1014,Foreign Travel Security Training,2025-01-23 05:52:39.183673,2025-04-23 05:52:39.183673,Completed,91
8004,1048,Controlled Unclassified Information (CUI) Training,2025-02-03 08:48:58.775510,2025-05-04 08:48:58.775510,Completed,91
8005,1041,Cybersecurity Awareness,2025-02-14 11:45:18.367346,2025-05-15 11:45:18.367346,Overdue,98
8006,1023,Foreign Travel Security Training,2025-02-25 14:41:37.959183,2025-05-26 14:41:37.959183,Overdue,89
8007,1042,Controlled Unclassified Information (CUI) Training,2025-03-08 17:37:57.551020,2025-06-06 17:37:57.551020,Completed,83
8008,1028,Insider Threat Awareness,2025-03-19 20:34:17.142857,2025-06-17 20:34:17.142857,Completed,89
8009,1021,Insider Threat Awareness,2025-03-30 23:30:36.734693,2025-06-28 23:30:36.734693,Completed,85
8010,1007,Controlled Unclassified Information (CUI) Training,2025-04-11 02:26:56.326530,2025-07-10 02:26:56.326530,Completed,86
8011,1030,Insider Threat Awareness,2025-04-22 05:23:15.918367,2025-07-21 05:23:15.918367,Completed,75
8012,1044,Insider Threat Awareness,2025-05-03 08:19:35.510204,2025-08-01 08:19:35.510204,Completed,80
8013,1017,Cybersecurity Awareness,2025-05-14 11:15:55.102040,2025-08-12 11:15:55.102040,Completed,83
8014,1014,Insider Threat Awareness,2025-05-25 14:12:14.693877,2025-08-23 14:12:14.693877,Completed,91
8015,1030,Controlled Unclassified Information (CUI) Training,2025-06-05 17:08:34.285714,2025-09-03 17:08:34.285714,Overdue,84
8016,1024,Cybersecurity Awareness,2025-06-16 20:04:53.877551,2025-09-14 20:04:53.877551,Completed,93
8017,1015,Controlled Unclassified Information (CUI) Training,2025-06-27 23:01:13.469387,2025-09-25 23:01:13.469387,Overdue,76
8018,1032,Foreign Travel Security Training,2025-07-09 01:57:33.061224,2025-10-07 01:57:33.061224,Completed,79
8019,1018,Insider Threat Awareness,2025-07-20 04:53:52.653061,2025-10-18 04:53:52.653061,Completed,93
8020,1049,Insider Threat Awareness,2025-07-31 07:50:12.244897,2025-10-29 07:50:12.244897,Completed,83
8021,1046,Insider Threat Awareness,2025-08-11 10:46:31.836734,2025-11-09 10:46:31.836734,Completed,77
8022,1001,Foreign Travel Security Training,2025-08-22 13:42:51.428571,2025-11-20 13:42:51.428571,Completed,83
8023,1006,Controlled Unclassified Information (CUI) Training,2025-09-02 16:39:11.020408,2025-12-01 16:39:11.020408,Completed,83
8024,1031,Foreign Travel Security Training,2025-09-13 19:35:30.612244,2025-12-12 19:35:30.612244,Completed,96
8025,1016,Foreign Travel Security Training,2025-09-24 22:31:50.204081,2025-12-23 22:31:50.204081,Completed,96
8026,1006,Insider Threat Awareness,2025-10-06 01:28:09.795918,2026-01-04 01:28:09.795918,Completed,87
8027,1029,Cybersecurity Awareness,2025-10-17 04:24:29.387755,2026-01-15 04:24:29.387755,Completed,88
